task,family,profile,model,model_family,model_params_sha256,tuning_study_digest,model_git_sha,runner_git_sha,container_digest,hardware,sample_period,sequence_length,epochs,max_samples_per_window,protocol_overrides_sha256,comparison_protocol_sha256,ranking_protocol_sha256,rank,appliance,target_data_access,scope,status,seeds,run_count,mae_mean,mae_std,f1_mean,f1_std,elapsed_seconds_mean,elapsed_seconds_std,trainable_parameters_mean,trainable_parameters_std,peak_accelerator_memory_bytes_mean,peak_accelerator_memory_bytes_std
corrected-t1-redd,T1,corrected,NILMFormer,transformer,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,825740b39bcd44b3f4bfaf146f4c0d944843b131,83fb39e57d50ac433314e880176fef187997d5b3,sha256:dd977962c2e0d72e2d923f8f5c3e92e538f67a00495e545c2f22571001872e91,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,68326c07a5ae30495f929d97858f5b49e5cfdeaddf78334066d74b90417f5d9e,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,1,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,48.08586044774824,0.6277903001830687,0.6281731157580089,0.006296768732152522,57.085627023984365,0.9263972298357254,383283.0,0.0,4020728832.0,0.0
corrected-t1-redd,T1,corrected,Seq2Point,convolutional,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,825740b39bcd44b3f4bfaf146f4c0d944843b131,83fb39e57d50ac433314e880176fef187997d5b3,sha256:dd977962c2e0d72e2d923f8f5c3e92e538f67a00495e545c2f22571001872e91,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,68326c07a5ae30495f929d97858f5b49e5cfdeaddf78334066d74b90417f5d9e,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,2,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,49.13913551508602,1.368821477825844,0.738922168844469,0.02550131120698661,11.937222305607671,0.9718365327389646,13863449.0,0.0,724345856.0,0.0
corrected-t1-redd,T1,corrected,DAE,autoencoder,07f5562c93a226b28c0f287f72c181f6a7d322c0939fb2d5ca379e6449fc5445,,825740b39bcd44b3f4bfaf146f4c0d944843b131,83fb39e57d50ac433314e880176fef187997d5b3,sha256:dd977962c2e0d72e2d923f8f5c3e92e538f67a00495e545c2f22571001872e91,NVIDIA A100-SXM4-80GB,60,99,3,3960,fe0a640391067d0d8eef3655b630a41151a1bdf4cbff179ce47626525764d28a,81fbe9a0cd8d218ec6bbef16b85d38833c4263704915fb7564a3a69ae878ad0d,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,3,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,49.81314141919794,1.2750812946872356,0.7096876676310145,0.011508582889399363,11.623419809659632,1.069115608188479,831801.0,0.0,83911168.0,0.0
corrected-t1-redd,T1,corrected,WindowGRU,recurrent,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,825740b39bcd44b3f4bfaf146f4c0d944843b131,83fb39e57d50ac433314e880176fef187997d5b3,sha256:dd977962c2e0d72e2d923f8f5c3e92e538f67a00495e545c2f22571001872e91,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,68326c07a5ae30495f929d97858f5b49e5cfdeaddf78334066d74b90417f5d9e,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,4,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,50.47948637432652,1.3556019544833675,0.6971819197814662,0.007023031532984379,11.894063677988015,0.13453522512836433,427345.0,0.0,2746802688.0,0.0
corrected-t1-redd,T1,corrected,Seq2Seq,recurrent,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,825740b39bcd44b3f4bfaf146f4c0d944843b131,83fb39e57d50ac433314e880176fef187997d5b3,sha256:dd977962c2e0d72e2d923f8f5c3e92e538f67a00495e545c2f22571001872e91,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,68326c07a5ae30495f929d97858f5b49e5cfdeaddf78334066d74b90417f5d9e,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,5,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,53.186684329148044,0.8083813761910171,0.7212017869840711,0.030549052359127225,11.24612321498959,0.6311736800212133,3212099.0,0.0,1329563648.0,0.0
corrected-t1-redd,T1,corrected,TimesNet,periodic-2d,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,c130293e24e16817b9859d1b78ae18bd988b1219,106af6b8d663d19e867d2026cf90f3053600140b,sha256:4b233308c342556efd0be0d88f24586d2808cc9b7f86cde1d52cafccacb4c425,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,b941c80e3fe153d02994653c5d8b16227488099ddc7339015200c4b98fdcfbb3,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,6,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,53.54326050196499,3.484528174212275,0.7276561282620838,0.04093130701280522,15.600740528704288,0.17223456231731793,287617.0,0.0,6734305280.0,0.0
corrected-t1-redd,T1,corrected,PatchTST,transformer,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,825740b39bcd44b3f4bfaf146f4c0d944843b131,83fb39e57d50ac433314e880176fef187997d5b3,sha256:dd977962c2e0d72e2d923f8f5c3e92e538f67a00495e545c2f22571001872e91,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,68326c07a5ae30495f929d97858f5b49e5cfdeaddf78334066d74b90417f5d9e,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,7,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,56.397111539882644,2.9141793059289416,0.6521443272068602,0.02538089740106514,12.306998797032671,0.6492131196627466,110977.0,0.0,126057984.0,0.0
corrected-t1-redd,T1,corrected,SGN,subtask-gated,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,c130293e24e16817b9859d1b78ae18bd988b1219,106af6b8d663d19e867d2026cf90f3053600140b,sha256:4b233308c342556efd0be0d88f24586d2808cc9b7f86cde1d52cafccacb4c425,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,b941c80e3fe153d02994653c5d8b16227488099ddc7339015200c4b98fdcfbb3,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,8,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,56.58166051692177,5.610110681403522,0.635764573359617,0.014743254767152193,11.696431400681226,0.22639117883799584,27342398.0,0.0,614495232.0,0.0
corrected-t1-redd,T1,corrected,ModernTCN,convolutional,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,8d745493ed9f84dd00fb502ffe85943eaeedc4c8,adaf03e42f5b8dd6b9ab95942ee191999f2d3b25,sha256:d7253754a6a9133235076fa1c1555104aa8be8128443da96bc16ae3d46809aa8,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,e8e370ea20df5ac070b562c1aa9ff41906df66b13863f2b9a0bbb4236065070b,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,9,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,56.62328958799068,1.7673380562844272,0.6586170778974529,0.007156421175410614,11.552591511009572,1.3315803091669323,41921.0,0.0,95785984.0,0.0
corrected-t1-redd,T1,corrected,NILMMoE,mixture-of-experts,9d8de5f72b1010780ee736900644210cd60be6f1e27f64680ed20eaa30c158b6,,9d28870d0df378c34092d95ea8a11479e0fe7db3,6d567b10060f0ac37989e4d2108b3c96081fc9d5,sha256:f3a61875a1e7d10787034307fcba86719988e26df2515d4c3ca0cc64153b6f56,NVIDIA A100-SXM4-80GB,60,299,3,3960,7f654b6d261e1d9a6e733400a6ee383eacf61da0a0f5e45ce5aa7bc88f385056,f8736675874fd7879c888574d26c57b67fbbbd2d3c5ecbf38ed095cd52572167,bc8002ef4b917cda509fc789093422ad2abfb3d472bd00c7df3f846d750a14b4,10,fridge,not_applicable,smoke,smoke-verified,10;20;42,3,56.89825084244552,4.65988486913259,0.7067897191691933,0.03948399997469793,16.404960388628144,0.2614316407944188,330493.0,0.0,6755633152.0,0.0
